Code Departamento,distanciaRio,hayRioCercano,tipoDeSuelo,estacion,temperature_2m,total_evaporation_sum,volumetric_soil_water_layer_1,precipitation_1,precipitation_2,precipitation_3,precipitation_4,precipitation_5,precipitation_6,precipitation_7,seInunda
06497,7.25,False,Complejo indiferenci,otoño,12.112335459391318,0.8917711675167084,0.4358336130777995,0.8,20.9,38.6,0.1,0.0,0.0,0.0,1
26077,11.08,False,Aridisoles,otoño,14.424038823445642,0.3417693078517914,0.362457275390625,4.2,72.2,4.6,0.1,3.8,9.6,0.0,1
26007,46.39,False,Aridisoles,otoño,14.075731531779013,0.4791039973497391,0.2963714599609375,52.6,81.5,0.4,0.0,2.2,8.0,0.0,1
26077,11.08,False,Aridisoles,otoño,14.424038823445642,0.3417693078517914,0.362457275390625,4.2,72.2,4.6,0.1,3.8,9.6,0.0,1
14182,19.27,False,Molisoles,verano,23.931933339436853,3.9419690147042,0.2520357767740885,0.0,0.0,54.7,3.0,0.0,12.6,22.0,1
82105,29.33,False,Molisoles,verano,23.82485415140792,3.3241165801881998,0.4666328430175781,0.7,156.0,0.0,0.4,0.7,0.0,0.0,1
74063,27.91,False,Entisoles,verano,18.388476308186853,4.3339971452951,0.3320484161376953,0.0,0.8,39.1,6.3,3.5,15.3,20.8,1
74007,64.22,False,Entisoles,verano,23.108447011311853,4.5406036078928995,0.130835215250651,0.0,3.1,35.7,5.8,0.1,1.4,5.1,1
74007,64.22,False,Entisoles,verano,23.108447011311853,4.5406036078928995,0.130835215250651,0.0,3.1,35.7,5.8,0.1,1.4,5.1,1
74007,64.22,False,Entisoles,verano,23.108447011311853,4.5406036078928995,0.130835215250651,0.0,3.1,35.7,5.8,0.1,1.4,5.1,1
74028,30.54,False,Entisoles,verano,19.627734120686853,3.163837827742,0.3104292551676432,0.0,2.0,34.7,11.7,7.4,11.2,11.2,1
14126,35.26,False,Entisoles,verano,23.310187911987327,3.6522382870316,0.2687549591064453,0.0,1.0,14.0,0.0,0.9,0.0,0.0,1
14007,19.43,False,Roca,verano,20.065477625529013,3.8917986676096,0.4188639322916667,5.2,4.6,10.8,0.0,0.7,0.1,0.0,1
14014,24.04,False,Miscelaneas,verano,22.105109786987327,4.1305189952254,0.4121793111165364,17.8,3.2,15.8,0.0,0.4,0.0,0.0,1
14021,20.69,False,Miscelaneas,verano,22.514777755737327,4.1046552360057,0.3997732798258464,8.4,4.8,18.1,0.0,0.0,0.5,0.0,1
14021,20.69,False,Miscelaneas,verano,22.514777755737327,4.1046552360057,0.3997732798258464,8.4,4.8,18.1,0.0,0.0,0.5,0.0,1
14021,20.69,False,Miscelaneas,verano,22.514777755737327,4.1046552360057,0.3997732798258464,8.4,4.8,18.1,0.0,0.0,0.5,0.0,1
14021,20.69,False,Miscelaneas,verano,22.514777755737327,4.1046552360057,0.3997732798258464,8.4,4.8,18.1,0.0,0.0,0.5,0.0,1
