,date,rio_id,lat,lon,altura_value,precipitaciones_value
316,2023-11-13,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
317,2023-11-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
318,2023-11-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
319,2023-11-16,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
320,2023-11-17,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
321,2023-11-18,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
322,2023-11-19,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
323,2023-11-20,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
324,2023-11-21,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
325,2023-11-22,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
326,2023-11-23,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
327,2023-11-24,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.7
328,2023-11-25,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
329,2023-11-26,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
