date,rio_id,lat,lon,altura_value,precipitaciones_value
2023-10-21,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,14.7
2023-10-22,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.3
2023-10-23,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,2.0
2023-10-24,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,1.0
2023-10-25,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-26,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-27,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.2
2023-10-28,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-29,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.2
2023-10-30,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-10-31,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,15.1
2023-11-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,2.7
2023-11-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,5.7
2023-11-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.7
2023-11-13,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-14,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-15,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-16,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-17,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-18,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-19,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-20,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-21,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-22,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-23,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-24,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.7
2023-11-25,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-26,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-11-27,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.4
2023-11-28,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-11-29,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-11-30,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.1
2023-12-01,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,2.5
2023-12-02,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-12-03,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-12-04,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-12-05,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,8.7
2023-12-06,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-12-07,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-12-08,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.4
2023-12-09,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,2.4
2023-12-10,6746-2123,-36.3977777777778,-67.1402777777778,-0.07,0.0
2023-12-11,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
2023-12-12,6746-2123,-36.3977777777778,-67.1402777777778,-0.06,0.0
