date,dewpoint_temperature_2m,surface_pressure,surface_solar_radiation_downwards_sum,temperature_2m,u_component_of_wind_10m,v_component_of_wind_10m,localidad,lat_lon
2025-04-15,283.17982482910156,101484.38802083333,6534646.0,285.9878673553467,-2.530405044555664,-0.3717443545659383,Bahía Blanca,"-38.7196, -62.2683"
2025-04-16,283.6122589111328,101192.14583333333,11794872.0,286.17357381184894,0.2935263315836589,-2.4935030937194824,Bahía Blanca,"-38.7196, -62.2683"
2025-04-17,282.4577344258626,100939.78759765625,12938382.0,287.65413029988605,3.943246841430664,-3.256584803263346,Bahía Blanca,"-38.7196, -62.2683"
2025-04-18,278.8249918619792,101383.89241536458,14089926.0,286.3612804412842,4.58738390604655,1.1239957014719646,Bahía Blanca,"-38.7196, -62.2683"
2025-04-19,279.3188120524089,102075.52783203125,15138058.0,284.9762961069743,2.013270060221354,2.049161712328593,Bahía Blanca,"-38.7196, -62.2683"
2025-04-20,280.06362469991046,101727.46647135417,14337684.0,284.6005395253499,-0.3420397440592448,-3.415204723676046,Bahía Blanca,"-38.7196, -62.2683"
2025-04-21,283.3099950154622,101087.73649088542,7008634.0,287.5750166575114,2.6754767100016275,-5.1217178503672285,Bahía Blanca,"-38.7196, -62.2683"
2025-04-22,286.0805308024089,100985.01285807292,7787842.0,288.59278043111163,1.206936518351237,-2.6290340423583984,Bahía Blanca,"-38.7196, -62.2683"
2025-04-23,285.8546148935954,100841.43180338542,14079298.0,289.9098841349284,2.835760752360026,-0.9466648101806641,Bahía Blanca,"-38.7196, -62.2683"
2025-04-24,283.98584238688153,101036.80208333333,13471052.0,287.61389032999676,-0.4534231821695964,-2.09209406375885,Bahía Blanca,"-38.7196, -62.2683"
2025-04-25,285.4740931193034,100208.53857421875,9792012.0,291.3468132019043,2.7870635986328125,-4.539383769035339,Bahía Blanca,"-38.7196, -62.2683"
2025-04-26,275.4404436747233,100849.20328776042,14037878.0,286.1780077616374,6.2778746287028,-0.5049862861633301,Bahía Blanca,"-38.7196, -62.2683"
2025-04-27,278.22446314493817,101151.36393229167,13504748.0,286.6517111460368,4.987270991007487,-0.3288042147954305,Bahía Blanca,"-38.7196, -62.2683"
2025-04-28,280.7923812866211,101335.58121744792,13481412.0,286.7126871744792,2.311330795288086,-0.8169460296630859,Bahía Blanca,"-38.7196, -62.2683"
2025-04-29,282.1107317606608,101097.29573567708,13198254.0,287.872657140096,1.1417369842529297,-3.0481770833333335,Bahía Blanca,"-38.7196, -62.2683"
2025-04-30,285.64516576131183,100937.06868489583,12658128.0,289.6971549987793,1.1688346862792969,-2.3356387615203857,Bahía Blanca,"-38.7196, -62.2683"
2025-05-01,284.59489186604816,100877.30322265625,10764048.0,290.83056894938153,1.3194828033447266,-4.278924942016602,Bahía Blanca,"-38.7196, -62.2683"
2025-05-02,280.1755015055339,101353.78857421875,12807342.0,288.066063563029,3.9892361958821616,-1.1547213395436604,Bahía Blanca,"-38.7196, -62.2683"
2025-05-03,282.8705857594808,101086.99609375,10646702.0,290.15436935424805,2.090458552042643,-4.430379231770833,Bahía Blanca,"-38.7196, -62.2683"
2025-05-04,284.71939214070636,101191.26155598958,7378426.0,288.63716379801434,1.4902896881103516,1.1840462684631348,Bahía Blanca,"-38.7196, -62.2683"
2025-05-05,279.44135093688965,101781.08089192708,9456990.0,284.7147337595622,-2.809410730997721,-0.8734044631322225,Bahía Blanca,"-38.7196, -62.2683"
2025-05-06,285.14494196573895,100972.37353515625,3412118.0,288.36102867126465,0.8109442392985026,-4.021772384643555,Bahía Blanca,"-38.7196, -62.2683"
2025-05-07,278.22544542948407,100962.37320963542,8677608.0,284.7707659403483,2.4046287536621094,-1.0671106974283855,Bahía Blanca,"-38.7196, -62.2683"
2025-05-08,280.19616826375324,100852.68147786458,11933304.0,285.4300429026286,1.3504676818847656,-1.3121580282847087,Bahía Blanca,"-38.7196, -62.2683"
2025-05-09,279.80458068847656,100777.79166666667,11421840.0,287.7526200612386,5.413357416788737,-1.1995264689127605,Bahía Blanca,"-38.7196, -62.2683"
2025-05-10,279.09140078226727,101550.03938802083,11728484.0,285.716744740804,1.0131041208902996,-0.9835543632507324,Bahía Blanca,"-38.7196, -62.2683"
2025-05-11,282.1439921061198,101735.06966145833,11602240.0,288.6342951456706,-0.10066604614257812,-5.851011395454407,Bahía Blanca,"-38.7196, -62.2683"
2025-05-12,283.8230228424072,101370.46647135417,11087482.0,290.9123891194661,1.1491451263427734,-8.082721392313639,Bahía Blanca,"-38.7196, -62.2683"
2025-05-13,284.08977127075195,100988.18131510417,10829578.0,290.1717217763265,1.4238592783610027,-6.388719916343689,Bahía Blanca,"-38.7196, -62.2683"
2025-05-14,283.92602094014484,101199.2548828125,11407206.0,289.4235102335612,2.3966058095296225,-2.5591957569122314,Bahía Blanca,"-38.7196, -62.2683"
2025-05-15,287.49545160929364,100957.74446614583,7254620.0,290.5376625061035,1.1282552083333333,-3.221251964569092,Bahía Blanca,"-38.7196, -62.2683"
2025-05-16,282.76137288411456,100854.53450520833,11319456.0,287.5786298116048,1.5772291819254558,-1.9544055859247844,Bahía Blanca,"-38.7196, -62.2683"
2025-05-17,287.07644017537433,100081.31787109375,5832072.0,291.36720848083496,3.279712677001953,-3.998906930287679,Bahía Blanca,"-38.7196, -62.2683"
2025-05-18,270.28610865275067,101181.12076822917,11452900.0,285.0456123352051,6.20600954691569,0.7523746490478516,Bahía Blanca,"-38.7196, -62.2683"
2025-05-19,274.8791987101237,101373.2216796875,8965322.0,284.3557434082031,4.606098333994548,-4.398013432820638,Bahía Blanca,"-38.7196, -62.2683"
2025-05-20,275.17214012145996,101792.57486979167,10819262.0,283.00815137227374,3.4912338256835938,-0.169235626856486,Bahía Blanca,"-38.7196, -62.2683"
2025-05-21,276.51745859781903,102071.38492838542,7405480.0,281.7440821329753,-1.8464539845784504,0.23584620157877603,Bahía Blanca,"-38.7196, -62.2683"
